Ucode,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
F101,80%,90%,10%,80%,10%,20%,10%,10%,90%,20%,10%,90%,80%,80%,30%,70%,50%,10%,70%,80%,80%,100%,80%,70%,60%,40%,30%,20%,10%,100%,90%,100%,90%,100%,100%,10%,0%,0%,70%,70%,40%,40%,60%,50%,80%,50%,50%,30%,70%,50%,80%,50%,20%,60%,50%,40%,20%,60%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F102,80%,40%,70%,80%,50%,40%,90%,80%,60%,40%,30%,80%,80%,10%,70%,80%,20%,80%,10%,80%,90%,90%,80%,60%,40%,30%,20%,10%,0%,100%,100%,100%,30%,100%,100%,70%,60%,50%,30%,40%,40%,40%,90%,90%,70%,70%,70%,30%,40%,40%,70%,40%,30%,90%,60%,20%,10%,80%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F103,90%,20%,70%,90%,30%,10%,90%,90%,90%,20%,30%,70%,20%,90%,80%,50%,80%,60%,80%,70%,50%,100%,100%,70%,50%,0%,0%,0%,0%,100%,100%,20%,10%,80%,70%,10%,0%,0%,50%,10%,20%,20%,10%,80%,60%,40%,10%,0%,20%,40%,80%,50%,0%,50%,40%,10%,0%,20%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F104,80%,70%,40%,70%,20%,60%,80%,40%,10%,50%,80%,60%,80%,70%,60%,80%,70%,80%,90%,90%,90%,90%,90%,80%,70%,60%,50%,40%,30%,100%,90%,80%,40%,80%,60%,50%,50%,30%,90%,40%,50%,50%,90%,70%,50%,30%,70%,50%,50%,50%,50%,50%,30%,30%,40%,10%,10%,40%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F105,90%,90%,10%,0%,20%,30%,30%,80%,70%,70%,50%,80%,10%,0%,30%,80%,90%,80%,50%,80%,80%,0%,20%,50%,70%,50%,30%,10%,10%,100%,60%,30%,10%,80%,50%,20%,0%,0%,80%,30%,30%,30%,60%,80%,70%,50%,30%,60%,70%,70%,50%,50%,30%,70%,80%,80%,30%,90%,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F106,70%,90%,10%,70%,10%,30%,10%,70%,80%,50%,10%,80%,80%,20%,20%,80%,70%,60%,90%,90%,10%,100%,100%,100%,90%,80%,20%,0%,0%,100%,100%,100%,90%,100%,100%,90%,80%,70%,10%,0%,0%,0%,80%,80%,30%,30%,10%,0%,10%,70%,90%,70%,10%,10%,10%,0%,0%,20%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F107,80%,90%,60%,80%,30%,50%,80%,40%,90%,30%,80%,20%,70%,30%,90%,10%,20%,70%,90%,10%,10%,100%,100%,90%,60%,50%,40%,30%,20%,100%,90%,80%,70%,100%,90%,50%,20%,0%,10%,10%,10%,10%,70%,60%,30%,40%,10%,10%,70%,80%,90%,60%,20%,10%,50%,0%,0%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F108,10%,80%,20%,10%,10%,10%,80%,90%,10%,10%,60%,40%,10%,0%,20%,40%,40%,80%,30%,70%,90%,100%,100%,100%,100%,100%,90%,70%,50%,100%,90%,80%,70%,100%,40%,40%,20%,10%,60%,30%,20%,20%,70%,40%,10%,0%,90%,10%,60%,10%,70%,30%,10%,10%,20%,0%,0%,30%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F109,80%,20%,70%,40%,50%,10%,80%,80%,10%,20%,20%,,10%,90%,30%,90%,60%,10%,80%,70%,80%,70%,60%,50%,40%,30%,20%,10%,0%,20%,10%,10%,0%,,,,,,50%,50%,50%,50%,90%,80%,30%,30%,70%,30%,10%,30%,90%,90%,10%,40%,10%,10%,0%,30%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F110,70%,80%,20%,80%,50%,40%,80%,90%,60%,20%,30%,70%,70%,70%,70%,90%,30%,70%,90%,70%,70%,20%,40%,,60%,30%,,,,,80%,30%,,70%,50%,50%,50%,50%,60%,30%,30%,30%,80%,80%,60%,40%,90%,10%,60%,60%,60%,60%,50%,50%,30%,20%,20%,30%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
